dis,mr2
15,0.485580217112712
6,0.521430596184043
8,0.50712049983412
5,0.529469268065447
1,0.572295239860272
13,0.487646784218648
14,0.487314846345413
4,0.540064802519825
0,0.563257243551001
18,0.483470466692194
42,0.477207427206356
45,0.475890093045718
28,0.476031851957091
19,0.484462013406858
17,0.484642368603373
22,0.480130853240493
7,0.514295237896793
12,0.491813933315642
3,0.549953385283342
9,0.500791036919685
2,0.560723726605916
48,0.476755753524473
16,0.484616062538759
10,0.497579044843608
57,0.493419606132076
80,0.485819958961474
92,0.481001295588235
82,0.491329689259645
65,0.488694171401515
30,0.469589493254143
31,0.473693589695596
34,0.477913973147662
26,0.474777399044594
24,0.480257152619879
89,0.500633044117647
21,0.481693986678733
11,0.492196483612687
25,0.473973601899997
23,0.477805219269578
62,0.481001817092034
83,0.489863280657396
66,0.490137488988581
71,0.495432069261214
33,0.475485215026378
29,0.477482537644745
20,0.482943022500394
73,0.500979572969543
72,0.477051343805572
67,0.501871351761252
38,0.475852298561396
27,0.473405444855491
32,0.475106242849763
97,0.492025011627907
100,0.507997696969697
41,0.477472147147147
40,0.475703010224215
36,0.478940489257371
63,0.482622389959432
52,0.482231086802828
54,0.474288794475138
49,0.481391864969802
39,0.480081483305261
35,0.478550717775324
43,0.480422678911166
60,0.481014511377614
53,0.479231217743917
47,0.482513889566153
50,0.481585286093418
46,0.484023056324384
44,0.468598166581175
141,0.513536456521739
163,0.538817935483871
160,0.530134235955056
59,0.477722630156992
37,0.479106628809299
75,0.483034612444444
70,0.483592628915663
58,0.478717518059002
103,0.496684325203252
78,0.495572857251908
106,0.488428026960784
109,0.533341821292776
104,0.52354902742616
69,0.472443517524644
64,0.488750128063241
51,0.482909186278863
68,0.487358366581415
105,0.499812970822281
56,0.485883068589744
85,0.497417742301459
144,0.562760279411765
61,0.4879928704
130,0.537536352941176
124,0.55206606122449
117,0.513364256830601
102,0.488973347071583
55,0.477840093632959
77,0.489118273251029
76,0.483212590847914
91,0.473024587016575
84,0.506851251693002
81,0.494309511860175
74,0.488263904407201
88,0.468446569210867
87,0.494675886238532
99,0.488954046448087
98,0.503574402892562
108,0.526504587458746
134,0.529737910447761
131,0.482990672727273
143,0.493349035087719
129,0.541258980582524
86,0.485631206703911
123,0.504931623529412
79,0.486740369109948
181,0.548663684210526
194,0.546036583333333
224,0.522619111111111
94,0.518375910891089
169,0.519939647058824
152,0.507537875
162,0.536417674796748
156,0.584629
118,0.524367951690821
161,0.478003849557522
155,0.573242031746032
126,0.538179825726141
125,0.50287735
107,0.53269928
95,0.487345350730689
101,0.496410090024331
165,0.494017638297872
142,0.494650936507937
112,0.525298977941177
113,0.523547533333333
192,0.575147
197,0.731717125
137,0.539868935483871
145,0.561799925925926
93,0.495418604166667
119,0.508788795348837
96,0.497337829044118
120,0.510703117021277
90,0.512508403587444
198,0.449681333333333
200,0.6378788
251,0.625
138,0.509300488888889
186,0.768518444444445
250,0.705128333333333
171,0.5547999
121,0.486145421875
111,0.499945244541485
116,0.532167710037175
114,0.468298384030418
110,0.50754965917603
135,0.46315306097561
146,0.538242820895522
211,0.365744714285714
210,0.545424473684211
180,0.506251421052632
177,0.6082995
122,0.502132712446352
157,0.504302448275862
136,0.490721517647059
133,0.5090632578125
149,0.614369021276596
115,0.526943728723404
127,0.526269533333333
151,0.456720019607843
158,0.52853825
153,0.621069236363636
154,0.548255013888889
209,0.595253375
132,0.520757987421384
128,0.537406007782101
167,0.574099833333333
139,0.587232949152542
216,0.691786090909091
172,0.511247620689655
190,0.399947857142857
212,0.3748438
208,0.511790916666667
228,0.75274
182,0.471517541666667
140,0.543097786666667
173,0.466545210526316
221,0.509296857142857
205,0.5586043
207,0.684927714285714
150,0.55279953968254
147,0.554905638888889
214,0.6181416
178,0.485974409090909
213,0.51556475
203,0.7447368
370,1
170,0.515827333333333
206,0.6289615
195,0.494849
179,0.431254428571429
187,0.569389181818182
262,0.8421052
254,0.684210666666667
184,0.567709333333333
189,0.7083543
239,0.272727
231,0.277777666666667
220,0.721148333333333
233,0.534141875
196,0.674779444444444
204,0.503509727272727
222,0.6666666
202,0.649349083333333
148,0.495846347826087
168,0.509410676470588
159,0.497798155844156
402,1
174,0.575873541666667
260,0.625
219,0.6047804
191,0.572103
240,0.6545454
252,0.734375
256,0.625
234,0.3042308
248,1
164,0.529860074074074
295,0.375
166,0.527816842105263
235,0.777777666666667
188,0.573153625
342,0.75
343,0.6363635
193,0.738095285714286
183,0.603446555555556
218,0.52129275
264,0.7118358
275,0.919192
176,0.661971058823529
201,0.749280285714286
242,0.5
244,0.261363666666667
230,0.4694076
175,0.557626285714286
282,0.5916666
215,0.554858
225,0.65625
185,0.69
245,0.624942
232,0.6014087
270,0.619066818181818
269,0.75
276,1
268,0.833333333333333
274,1
273,0.296198666666667
263,0.785087666666667
257,0.209677
283,0.751894
271,1
366,1
367,1
199,0.726469625
265,0.514401
267,0.278549
229,0.707792
241,1
227,0.485976
223,0.6022838
284,0.428571
253,0.333333
258,0.273448666666667
300,0.241071
510,1
261,0.6875
680,0.765625
247,1
217,0.6389482
249,0.25
331,0.75
345,1
354,1
246,0.576597
290,0.8878205
289,0.390541
285,1
237,1
341,0.25
226,0.265
259,1
684,1
683,0.25
674,0.333333
648,0.25
243,1
324,1
326,1
323,1
277,1
238,1
280,1
287,1
355,0.569444333333333
357,1
356,0.375
346,0.206612
415,1
427,1
429,1
417,1
320,1
312,0.7
349,0.259615
