geneid,mm
GRMZM2G172529,0.0106458934583935
GRMZM2G074530,0.174545454545455
GRMZM2G046590,0.518996305418719
GRMZM5G876379,0.00208719851576994
GRMZM2G154437,0.16192960740595
GRMZM2G454206,0.832220742921409
GRMZM2G013776,0.0626317523056654
GRMZM2G123866,0.585972683647102
GRMZM2G480621,0.86
GRMZM2G377694,0.0120934959349593
GRMZM2G382104,0.190503875968992
GRMZM2G015136,0.000841750841750842
GRMZM2G086876,0.00403225806451613
GRMZM2G386643,0.532595323101652
GRMZM2G119759,0.116486378205128
GRMZM2G058966,0.769454490657022
GRMZM2G058948,0.406912177631824
GRMZM2G165535,0.0666666666666667
GRMZM2G064212,0.656796422272613
GRMZM2G064202,0.00283413168028553
GRMZM2G064139,0.911100908895026
GRMZM2G049495,0.869691837225444
GRMZM2G049536,0.3
GRMZM2G459874,0.379180695847363
GRMZM2G051917,0.280887837062536
GRMZM2G051974,0.130200933325933
GRMZM2G348956,0.131411087143571
GRMZM2G348959,0.269736842105263
GRMZM2G052178,0.174917491749175
AC190792.2_FG006,NA
GRMZM2G147854,0.889540117944227
GRMZM2G155877,0
GRMZM2G457621,0.0112929735956052
GRMZM2G018595,0
GRMZM2G019500,0.026211667120758
GRMZM2G386564,0.00596797671033479
GRMZM2G084938,0
GRMZM2G084958,0.00122983077528532
GRMZM2G084327,0.0126978474200696
GRMZM2G084252,0.265282118356985
GRMZM2G160702,0.393743257820928
GRMZM2G160683,0.00881953867028494
GRMZM2G160527,0.283783783783784
GRMZM2G150098,0.0166782246879334
GRMZM2G449094,0.0100859788359788
GRMZM2G150059,0.0701481065911213
GRMZM5G877275,NA
GRMZM2G150004,0.662600605650459
GRMZM2G149996,0.00284321175278622
GRMZM2G149988,0.94484126984127
GRMZM2G149958,0.244860583371866
GRMZM2G149940,0.345174752168731
GRMZM2G149905,0.00316455696202532
GRMZM2G702884,0.923076923076923
GRMZM2G137596,0.842358158973928
GRMZM2G436214,0.00174897119341564
GRMZM2G436199,0.0477862786905807
GRMZM2G137574,0.203924162257496
GRMZM2G137566,0.081453634085213
GRMZM2G044096,0.136597110754414
GRMZM2G084928,0.32988683127572
GRMZM2G084819,0.590159593253766
GRMZM2G105330,0.00382365531767922
GRMZM2G105319,NA
GRMZM2G407347,0.278021978021978
GRMZM2G105180,NA
GRMZM2G068202,0
GRMZM2G367115,0.0116279069767442
GRMZM2G068177,0.167647058823529
GRMZM2G068059,0.355878787878788
GRMZM2G039996,0.325957556220714
GRMZM2G040115,0.0474882257541728
GRMZM2G040247,0.393345952772182
GRMZM2G040300,0.05
GRMZM2G040513,0.0610958480956678
GRMZM2G343317,0.00657788539144471
GRMZM2G040627,0.680683142614961
GRMZM2G040736,0.315786749482402
GRMZM2G020843,0.128019323671498
