geneid,mm,mv
GRMZM2G354611,0.807638905560184,0.0886688030842621
GRMZM2G100965,0.563175456806138,0.147713157675342
GRMZM5G833275,0.588037371782844,NA
GRMZM2G100979,0.802307477713245,0.078146689292183
GRMZM2G310569,0.00962491181657848,0.00337639996792089
GRMZM2G341658,0.00271196828423478,0.00138390405698166
GRMZM2G039325,0.147611485619419,0.0206292035328517
GRMZM2G415022,0.0836631549112972,0.0161795613853539
AC195959.2_FG004,0.695076389230679,0.139574687838565
GRMZM2G307823,0.0897435897435897,NA
GRMZM2G158729,0,NA
GRMZM2G158838,0.2,NA
GRMZM2G349983,0.0503839545731187,NA
GRMZM2G335242,0.00277028667409325,0.00126205590381578
GRMZM2G063693,0.0118263161065218,0.0072484234027114
GRMZM2G362470,0.750110312244118,0.0820515768898064
GRMZM2G063717,0.287571981262998,0.0548771715911144
GRMZM2G063765,0.00463022526858505,NA
GRMZM5G855994,0.00229730125066488,0.000906987457246598
GRMZM2G304471,0.868506006255165,NA
GRMZM5G878542,0.356178184571277,0.0338681007646958
GRMZM2G327474,0.930665130031615,0.0422793026811803
GRMZM2G154678,0.00266608379385117,0.00148463779653523
GRMZM2G154664,0.444228145591734,NA
GRMZM2G027392,0.00304985714558728,0.00181272526796294
GRMZM2G027627,0.00348625753393341,NA
GRMZM2G134040,0.874450869852145,0.0235874248377746
GRMZM2G000587,0.00320520048291639,0.00150255232414516
GRMZM2G000623,0.141970096487682,0.0397980574234695
GRMZM2G143862,0.328226278127706,0.048515617007995
GRMZM5G811223,0.359311555311042,0.043184377187054
GRMZM2G501099,0.869849657816417,NA
GRMZM2G075470,0.240400642818702,0.0324818305526261
GRMZM2G377690,0.257769108898165,NA
GRMZM2G059906,0.879456935127852,0.0427715885708348
GRMZM2G039993,0.506415138252744,NA
GRMZM2G063438,0.676350974222641,0.0319292538906276
GRMZM2G116966,0.801648081660508,0.0436678174640437
GRMZM2G408703,0.543254295403708,0.060956123680029
GRMZM2G057611,0.00656187718089863,0.00278573003020852
GRMZM2G057672,0.00190445121067131,0.00156138538494998
GRMZM2G110220,0.00227301132504693,0.00113193480940628
GRMZM2G406758,0.00285822576611582,0.00149810305798956
GRMZM2G110289,0.229130930214319,0.033463282634504
GRMZM2G110299,0.00729269555312403,0.00469099836319181
GRMZM5G845080,0.00329092550600487,0.0015453060310934
GRMZM5G812326,0.012296170764672,0.00632369398495554
GRMZM5G833563,0.172673967259763,0.0223972603179058
GRMZM2G016275,0.0605489166588915,0.0283889538303098
GRMZM5G896690,0.632460191769497,0.159234177381001
GRMZM2G138771,0.00258176711452051,0.00112804904873585
GRMZM2G026833,0.00494823184998055,0.00166889792553325
GRMZM2G180836,0.926959232604985,0.0382420004194829
GRMZM5G850922,0.00242028985507246,NA
GRMZM2G034991,0.215774193548387,NA
GRMZM2G451394,0.822229166666667,NA
AC213788.2_FG004,1,NA
GRMZM2G176081,0.13392102535146,0.0122256721047069
GRMZM2G102946,0.143634945156007,0.0113427411115606
GRMZM5G868913,0.134173374871648,0.0629977921252236
GRMZM5G805566,0.879166666666667,NA
GRMZM2G163409,0,NA
GRMZM2G046092,0.72598669653191,NA
GRMZM2G136831,0.00183457580526169,NA
AC212353.4_FG004,0.0221281993410959,0.00805473524197478
GRMZM2G098643,0.00339022671856764,0.0018203979506971
GRMZM2G072091,0.119166432681526,0.0156951646780815
GRMZM2G048243,0.303529736811943,0.0156910588255102
GRMZM2G110726,0.0275530362882925,0.0147468151051079
GRMZM2G110832,0.138718468264192,0.0138435422771995
GRMZM2G435290,0.788695984238484,0.109535065871365
