BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	Run_s	SRA_Sample_s	Sample_Name_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMN00839370	SRX131090	CML418_library	2012-08-11	6675	4335	Zea mays	SRR447753	SRS302432	CML418	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839374	SRX131091	CML511_library	2012-08-11	6675	4145	Zea mays	SRR447754	SRS302436	CML511	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839404	SRX131092	TIL05_library	2012-08-11	4489	2382	Zea mays subsp. parviglumis	SRR447755	SRS302466	TIL05	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839404	SRX131093	TIL05_library	2012-08-11	3250	2226	Zea mays subsp. parviglumis	SRR447756	SRS302466	TIL05	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839404	SRX131094	TIL05_library	2012-08-11	3545	1986	Zea mays subsp. parviglumis	SRR447757	SRS302466	TIL05	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839360	SRX131095	CML206_library	2012-08-11	6675	4352	Zea mays	SRR447758	SRS302422	CML206	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839329	SRX131096	BKN011_library	2012-08-11	5662	2844	Zea mays	SRR447759	SRS302391	BKN011	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839329	SRX131097	BKN011_library	2012-08-11	5506	2849	Zea mays	SRR447760	SRS302391	BKN011	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839424	SRX131098	VL056883_library	2012-08-11	6675	4096	Zea mays	SRR447761	SRS302486	VL056883	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
SAMN00839364	SRX131087	CML312SR_library	2012-08-11	6675	4437	Zea mays	SRR447750	SRS302426	CML312SR	WGS	<not provided>	<not provided>	CSHL	public	250	PAIRED	RANDOM	GENOMIC	ILLUMINA	2012-05-22	SRP011907	<not provided>	<not provided>	<not provided>
