chr,start,end,Dm,segregation_site,theta_pi,theta_s,geneid
2,1,98,-1.28197465850342,22,0.0387680885223869,0.0622535296449953,largedata/Dm/gene_CHG/chg_input/AC148152.3_FG001_chg.out
2,1,81,-1.69983878591484,2,0.00128168141868072,0.00736139326055832,largedata/Dm/gene_CHG/chg_input/AC148152.3_FG005_chg.out
2,1,125,-2.64888245288612,12,0.00499342292867458,0.0289963992769594,largedata/Dm/gene_CHG/chg_input/AC148152.3_FG008_chg.out
7,1,153,-2.01368238757591,10,0.00633210426404609,0.018326320123213,largedata/Dm/gene_CHG/chg_input/AC148167.6_FG001_chg.out
9,1,22,-2.46641698818903,10,0.0308949407937394,0.144285678696724,largedata/Dm/gene_CHG/chg_input/AC149475.2_FG002_chg.out
9,1,137,-2.2382635630957,36,0.0483495753862929,0.126404268048743,largedata/Dm/gene_CHG/chg_input/AC149475.2_FG003_chg.out
9,1,543,0.211471935512495,96,0.0878557983038932,0.0831197652552296,largedata/Dm/gene_CHG/chg_input/AC149475.2_FG005_chg.out
9,1,27,-1.70781287988376,2,0.00385042971956847,0.0222811077366503,largedata/Dm/gene_CHG/chg_input/AC149475.2_FG007_chg.out
9,1,39,2.89839144952072,24,0.45728824099185,0.250932881701729,largedata/Dm/gene_CHG/chg_input/AC149810.2_FG008_chg.out
9,1,85,-2.23894124512711,26,0.0484028898039949,0.130965948759974,largedata/Dm/gene_CHG/chg_input/AC149818.2_FG001_chg.out
9,1,31,3.59649644829785,31,0.889886567927183,0.444563556181312,largedata/Dm/gene_CHG/chg_input/AC149818.2_FG004_chg.out
9,1,95,-2.47803295096509,13,0.0104505505216175,0.0436615653899099,largedata/Dm/gene_CHG/chg_input/AC149818.2_FG006_chg.out
9,1,72,2.82558680584154,65,0.684021812599469,0.386801029401754,largedata/Dm/gene_CHG/chg_input/AC149818.2_FG007_chg.out
9,1,153,-2.07098031159921,18,0.0246596071256214,0.0601356502626308,largedata/Dm/gene_CHG/chg_input/AC149818.2_FG008_chg.out
9,1,134,-1.99626721719357,40,0.0596457265430286,0.132608601363554,largedata/Dm/gene_CHG/chg_input/AC149828.2_FG002_chg.out
9,1,15,-1.30882218026654,1,0.00346463711162631,0.0200254986419408,largedata/Dm/gene_CHG/chg_input/AC149828.2_FG004_chg.out
9,1,49,-1.34868692464661,3,0.00854628207325519,0.0195162618540733,largedata/Dm/gene_CHG/chg_input/AC149829.2_FG003_chg.out
9,1,104,0.249959976259638,54,0.243073137044511,0.227540464783341,largedata/Dm/gene_CHG/chg_input/AC149829.2_FG006_chg.out
9,1,243,-2.46354662143971,55,0.0397212009662562,0.120083108719302,largedata/Dm/gene_CHG/chg_input/AC150739.3_FG001_chg.out
10,1,32,4.7620829932711,32,1.03230617450682,0.444098638083121,largedata/Dm/gene_CHG/chg_input/AC152495.1_FG002_chg.out
10,1,37,7.3368649088674,37,1.35944403864401,0.449057910041331,largedata/Dm/gene_CHG/chg_input/AC152495.1_FG010_chg.out
10,1,21,-1.47535274901087,14,0.167433958000129,0.295543233475522,largedata/Dm/gene_CHG/chg_input/AC152495.1_FG011_chg.out
10,1,34,6.56644401978123,34,1.26051757722209,0.446826265233396,largedata/Dm/gene_CHG/chg_input/AC152495.1_FG012_chg.out
10,1,218,-1.30422481955929,195,0.260839807305711,0.40057604592931,largedata/Dm/gene_CHG/chg_input/AC152495.1_FG013_chg.out
8,1,141,3.49800268995985,68,0.386348229871326,0.198004228547732,largedata/Dm/gene_CHG/chg_input/AC155376.2_FG004_chg.out
8,1,93,0.539918550251142,26,0.144531283385493,0.125501436595839,largedata/Dm/gene_CHG/chg_input/AC155376.2_FG005_chg.out
3,1,773,-1.88366380593087,138,0.043262060342605,0.0873952323332408,largedata/Dm/gene_CHG/chg_input/AC155377.1_FG001_chg.out
3,1,329,-1.75456215554683,55,0.0409173327434638,0.0783944729234137,largedata/Dm/gene_CHG/chg_input/AC155377.1_FG002_chg.out
1,1,135,-2.42344407227248,12,0.00826295534170434,0.0318495485190258,largedata/Dm/gene_CHG/chg_input/AC155390.2_FG002_chg.out
7,1,36,-0.0279459517796037,15,0.189678285693362,0.191234139847645,largedata/Dm/gene_CHG/chg_input/AC155434.2_FG001_chg.out
7,1,13,-1.51636025222534,9,0.142719611617873,0.272105193168143,largedata/Dm/gene_CHG/chg_input/AC155434.2_FG003_chg.out
7,1,577,0.618602377596045,134,0.121150609360737,0.103898073101443,largedata/Dm/gene_CHG/chg_input/AC155434.2_FG004_chg.out
7,1,45,-1.70296096278708,2,0.00230829114405301,0.0132966444003563,largedata/Dm/gene_CHG/chg_input/AC155434.2_FG006_chg.out
5,1,530,-2.41461338925875,112,0.033951129484787,0.0968380592599045,largedata/Dm/gene_CHG/chg_input/AC155496.2_FG009_chg.out
3,1,75,-0.463084729353764,66,0.337007711400578,0.385514247144916,largedata/Dm/gene_CHG/chg_input/AC155610.2_FG007_chg.out
3,1,114,-2.72620453852166,43,0.0312653455278325,0.128752287360464,largedata/Dm/gene_CHG/chg_input/AC155622.2_FG001_chg.out
3,1,94,-2.45943871689072,12,0.00699397408188706,0.0328413939649861,largedata/Dm/gene_CHG/chg_input/AC155622.2_FG004_chg.out
1,1,237,-2.3016036663651,49,0.0370938456762083,0.0998645710815308,largedata/Dm/gene_CHG/chg_input/AC155624.2_FG006_chg.out
1,1,141,-2.37320657205897,17,0.00940984440896263,0.0333213102713338,largedata/Dm/gene_CHG/chg_input/AC155624.2_FG011_chg.out
5,1,33,-1.70558175718143,2,0.00314911805020452,0.0181847694680882,largedata/Dm/gene_CHG/chg_input/AC159612.1_FG007_chg.out
3,1,21,-1.5623495986909,2,0.00749621416774684,0.0296816417391247,largedata/Dm/gene_CHG/chg_input/AC165171.2_FG002_chg.out
2,1,30,-1.70658037971673,2,0.00346463711162631,0.0200254986419408,largedata/Dm/gene_CHG/chg_input/AC165178.2_FG004_chg.out
1,1,64,3.13285587062402,57,0.709298026073053,0.38241612155743,largedata/Dm/gene_CHG/chg_input/AC166636.1_FG008_chg.out
1,1,194,-1.39118790868105,27,0.0390486845941846,0.0639571164007193,largedata/Dm/gene_CHG/chg_input/AC166636.1_FG009_chg.out
2,1,57,-0.584553777750482,50,0.332396231232944,0.395643931304988,largedata/Dm/gene_CHG/chg_input/AC177833.2_FG001_chg.out
1,1,27,-0.97651939737028,15,0.175129343649818,0.245028011478411,largedata/Dm/gene_CHG/chg_input/AC177838.2_FG015_chg.out
1,1,11,-1.25433451992446,9,0.208015094485361,0.341079160885074,largedata/Dm/gene_CHG/chg_input/AC177850.2_FG003_chg.out
1,1,146,-2.50164485707023,24,0.0134352200547157,0.0490237152515539,largedata/Dm/gene_CHG/chg_input/AC177897.2_FG002_chg.out
1,1,194,-2.22342692065271,9,0.00312633189569093,0.0122256879889468,largedata/Dm/gene_CHG/chg_input/AC177899.2_FG009_chg.out
1,1,23,0.081714914687356,20,0.384133282652004,0.375358128298095,largedata/Dm/gene_CHG/chg_input/AC177899.2_FG012_chg.out
1,1,186,-2.59964872031683,30,0.0203944365951336,0.0739296497310039,largedata/Dm/gene_CHG/chg_input/AC177908.3_FG002_chg.out
2,1,83,-0.144088969747736,78,0.389204160667653,0.405008792507198,largedata/Dm/gene_CHG/chg_input/AC177924.2_FG001_chg.out
1,1,70,-2.25971181460043,6,0.00519386845246042,0.0258388601537634,largedata/Dm/gene_CHG/chg_input/AC177936.6_FG008_chg.out
4,1,68,-0.314307429936987,63,0.358678799596422,0.392240939918514,largedata/Dm/gene_CHG/chg_input/AC182105.3_FG006_chg.out
3,1,74,-1.70020342113702,2,0.00140301134087531,0.00806101280686695,largedata/Dm/gene_CHG/chg_input/AC182482.3_FG003_chg.out
3,1,229,-0.424281404810497,143,0.250358243069834,0.282506033025296,largedata/Dm/gene_CHG/chg_input/AC182617.3_FG001_chg.out
3,1,39,3.64387479931069,32,0.680161078035139,0.33718883010179,largedata/Dm/gene_CHG/chg_input/AC183315.4_FG006_chg.out
