chr,start,end,Dm,segregation_site,theta_pi,theta_s,geneid
10,1,7629,-2.5548624019317,1396,0.0283744503681043,0.0882908928793251,largedata/Dm/region_CHH/chh_input/10_100000001_chh.out
10,1,6000,-2.69405608282735,1055,0.0230510079166779,0.0811322295754259,largedata/Dm/region_CHH/chh_input/10_10000001_chh.out
10,1,9944,-2.42628040168501,1839,0.0322203303244945,0.0905834799096095,largedata/Dm/region_CHH/chh_input/10_1000001_chh.out
10,1,7930,-2.34069719898967,811,0.0196451476372846,0.0519916371354518,largedata/Dm/region_CHH/chh_input/10_100001_chh.out
10,1,5239,-2.58135478560769,879,0.0253959648022929,0.0809000143001936,largedata/Dm/region_CHH/chh_input/10_100100001_chh.out
10,1,4459,-2.70908099951666,821,0.0235698131238836,0.0842327029447103,largedata/Dm/region_CHH/chh_input/10_100200001_chh.out
10,1,3753,-2.65091353569198,795,0.029617627851664,0.100302173324124,largedata/Dm/region_CHH/chh_input/10_100300001_chh.out
10,1,5280,-2.3836798972464,1051,0.0354582945152373,0.0967129554812955,largedata/Dm/region_CHH/chh_input/10_100400001_chh.out
10,1,2705,-2.55817354980926,549,0.0309128565971809,0.0967885732434538,largedata/Dm/region_CHH/chh_input/10_100500001_chh.out
10,1,2922,-2.5928041171566,465,0.0237776857000205,0.0767359677917832,largedata/Dm/region_CHH/chh_input/10_100600001_chh.out
10,1,3777,-2.36720977758453,782,0.0377034774150999,0.10170148642553,largedata/Dm/region_CHH/chh_input/10_100700001_chh.out
10,1,5284,-2.57889160140364,968,0.0274217241891934,0.0871464392972589,largedata/Dm/region_CHH/chh_input/10_100800001_chh.out
10,1,8467,-2.50954445067511,1589,0.0299761759506289,0.089885837282253,largedata/Dm/region_CHH/chh_input/10_100900001_chh.out
10,1,6019,-2.64312913306888,871,0.0200049375345965,0.0672559525193424,largedata/Dm/region_CHH/chh_input/10_101000001_chh.out
10,1,6275,-2.51972951818371,1183,0.0302720504831585,0.0915706432865463,largedata/Dm/region_CHH/chh_input/10_10100001_chh.out
10,1,2466,-2.64927758489367,434,0.0243068605544093,0.0825057213357012,largedata/Dm/region_CHH/chh_input/10_101100001_chh.out
10,1,3755,-2.51626473049265,932,0.0396238287037577,0.119608295883111,largedata/Dm/region_CHH/chh_input/10_101200001_chh.out
10,1,4894,-2.45609359347932,952,0.033038009332464,0.0951262949946237,largedata/Dm/region_CHH/chh_input/10_101300001_chh.out
10,1,2857,-2.56337811021946,566,0.0303286792836865,0.0953517766915862,largedata/Dm/region_CHH/chh_input/10_101400001_chh.out
10,1,2787,-2.64557679743075,529,0.0264354274697783,0.0892986715181558,largedata/Dm/region_CHH/chh_input/10_101500001_chh.out
10,1,3938,-2.56615344561875,725,0.0282605787826681,0.0889475135640086,largedata/Dm/region_CHH/chh_input/10_101600001_chh.out
10,1,4268,-2.51361260991453,704,0.0261994896138044,0.0789999076485289,largedata/Dm/region_CHH/chh_input/10_101700001_chh.out
10,1,6844,-2.52359400839918,1405,0.0323033022317977,0.0979846811581866,largedata/Dm/region_CHH/chh_input/10_101800001_chh.out
10,1,3833,-2.66849584868456,840,0.0299986362092735,0.103203823012885,largedata/Dm/region_CHH/chh_input/10_101900001_chh.out
10,1,2881,-2.6508501087719,559,0.0258991202788421,0.0878935666575331,largedata/Dm/region_CHH/chh_input/10_102000001_chh.out
10,1,4905,-2.45466876719025,884,0.0302189207115546,0.0869370190873403,largedata/Dm/region_CHH/chh_input/10_10200001_chh.out
10,1,3913,-2.65252539055269,813,0.0278276573805364,0.0943853265690835,largedata/Dm/region_CHH/chh_input/10_102100001_chh.out
10,1,5863,-2.47523862141171,992,0.0286779763580126,0.0837873858550992,largedata/Dm/region_CHH/chh_input/10_102200001_chh.out
10,1,3571,-2.41632755168607,811,0.0399263241921968,0.111615725599058,largedata/Dm/region_CHH/chh_input/10_102300001_chh.out
10,1,4139,-2.68670183514564,730,0.0233331369901047,0.0816929722914515,largedata/Dm/region_CHH/chh_input/10_102400001_chh.out
10,1,6723,-2.52311057841338,1336,0.0313730404952772,0.0951356767381268,largedata/Dm/region_CHH/chh_input/10_102500001_chh.out
10,1,9010,-2.38931290317069,1980,0.0387827465853099,0.106096296535152,largedata/Dm/region_CHH/chh_input/10_102600001_chh.out
