chr,start,end,Dm,segregation_site,theta_pi,theta_s,geneid
10,1,1438,-1.35590495380915,1097,0.214599847569073,0.335472278395707,largedata/Dm/region_CG/cg_input/10_100000001_cg.out
10,1,974,-1.35674953497562,857,0.248307952993953,0.388389922111089,largedata/Dm/region_CG/cg_input/10_10000001_cg.out
10,1,2548,-1.88426051107073,1827,0.160488151997621,0.321237960860438,largedata/Dm/region_CG/cg_input/10_1000001_cg.out
10,1,3695,-2.06646549146928,2037,0.114126487379711,0.252904920904646,largedata/Dm/region_CG/cg_input/10_100001_cg.out
10,1,1045,-1.71790196182187,806,0.187693476578125,0.345482903920757,largedata/Dm/region_CG/cg_input/10_100100001_cg.out
10,1,826,-1.02265394106384,653,0.253140572840548,0.347729133361471,largedata/Dm/region_CG/cg_input/10_100200001_cg.out
10,1,830,-1.33296313481709,728,0.249353775285376,0.386276402353354,largedata/Dm/region_CG/cg_input/10_100300001_cg.out
10,1,1178,-1.23177657344455,941,0.238336526998533,0.354348144447355,largedata/Dm/region_CG/cg_input/10_100400001_cg.out
10,1,561,-1.58253971510186,449,0.207631809217471,0.358839388954461,largedata/Dm/region_CG/cg_input/10_100500001_cg.out
10,1,559,-1.22239065132834,417,0.223543498962315,0.331460751902591,largedata/Dm/region_CG/cg_input/10_100600001_cg.out
10,1,913,-1.33971185692169,691,0.216350244430759,0.336102811732833,largedata/Dm/region_CG/cg_input/10_100700001_cg.out
10,1,1017,-1.72876730029601,721,0.174779223889455,0.323483526548499,largedata/Dm/region_CG/cg_input/10_100800001_cg.out
10,1,1534,-1.54527036397118,1298,0.223786697786982,0.379636166981855,largedata/Dm/region_CG/cg_input/10_100900001_cg.out
10,1,916,-1.30614602751644,728,0.229967116764101,0.352349117527842,largedata/Dm/region_CG/cg_input/10_101000001_cg.out
10,1,1457,-1.35069164744154,1083,0.209058066067818,0.3261069492362,largedata/Dm/region_CG/cg_input/10_10100001_cg.out
10,1,729,-1.27842591177541,544,0.218136851350899,0.330615412807851,largedata/Dm/region_CG/cg_input/10_101100001_cg.out
10,1,703,-1.11026406021931,654,0.287959511708454,0.408639510697488,largedata/Dm/region_CG/cg_input/10_101200001_cg.out
10,1,793,-1.03191368195202,712,0.282480809787063,0.389325014308166,largedata/Dm/region_CG/cg_input/10_101300001_cg.out
10,1,717,-1.40514690448955,570,0.220595538883855,0.352322903416592,largedata/Dm/region_CG/cg_input/10_101400001_cg.out
10,1,476,-1.45783691577491,396,0.224843612248375,0.367618101077238,largedata/Dm/region_CG/cg_input/10_101500001_cg.out
10,1,730,-1.19517964120033,626,0.26027771898327,0.38160107308804,largedata/Dm/region_CG/cg_input/10_101600001_cg.out
10,1,862,-1.49455410165876,610,0.188614871415707,0.31310657836186,largedata/Dm/region_CG/cg_input/10_101700001_cg.out
10,1,1361,-1.50719630455576,1024,0.199222791334639,0.332340763380802,largedata/Dm/region_CG/cg_input/10_101800001_cg.out
10,1,675,-1.35783797905818,599,0.248786743377653,0.389493324706359,largedata/Dm/region_CG/cg_input/10_101900001_cg.out
10,1,716,-1.86251370979279,611,0.190720145008316,0.378028724780692,largedata/Dm/region_CG/cg_input/10_102000001_cg.out
10,1,1166,-0.950101984172138,852,0.242660591891348,0.324660591048475,largedata/Dm/region_CG/cg_input/10_10200001_cg.out
10,1,876,-1.54379154380852,750,0.220216946479438,0.373574748173219,largedata/Dm/region_CG/cg_input/10_102100001_cg.out
10,1,1031,-1.29132099553278,812,0.228793304203764,0.348405911243644,largedata/Dm/region_CG/cg_input/10_102200001_cg.out
10,1,921,-1.09666784495196,713,0.240619257773274,0.339688330480063,largedata/Dm/region_CG/cg_input/10_102300001_cg.out
10,1,899,-1.29766873997328,733,0.237604823763938,0.362793994200062,largedata/Dm/region_CG/cg_input/10_102400001_cg.out
10,1,945,-1.38581654273209,842,0.247590731026902,0.392014908794398,largedata/Dm/region_CG/cg_input/10_102500001_cg.out
10,1,1491,-1.44205496141057,1326,0.239442677477809,0.388142010447343,largedata/Dm/region_CG/cg_input/10_102600001_cg.out
10,1,907,-2.00242164721971,733,0.16867494940145,0.360779032866041,largedata/Dm/region_CG/cg_input/10_102700001_cg.out
10,1,2162,-2.05833225603211,1572,0.146438700262028,0.323061888267555,largedata/Dm/region_CG/cg_input/10_102800001_cg.out
10,1,1437,-1.43602929507666,1211,0.228614135623577,0.369654190779583,largedata/Dm/region_CG/cg_input/10_102900001_cg.out
10,1,838,-1.53888726952177,729,0.226646014749694,0.383642437649896,largedata/Dm/region_CG/cg_input/10_103000001_cg.out
10,1,735,-1.60204880448847,595,0.210120112965518,0.366191760725269,largedata/Dm/region_CG/cg_input/10_10300001_cg.out
10,1,2309,-1.84654945499105,1938,0.189095308502031,0.371046874824,largedata/Dm/region_CG/cg_input/10_103100001_cg.out
10,1,2034,-1.86379955524079,1699,0.189151962930395,0.374561970236015,largedata/Dm/region_CG/cg_input/10_103200001_cg.out
10,1,1694,-1.79118545837587,1402,0.192052583332951,0.366385888031494,largedata/Dm/region_CG/cg_input/10_103300001_cg.out
10,1,1436,-1.51506336990315,1201,0.220908494089882,0.369749261190149,largedata/Dm/region_CG/cg_input/10_103400001_cg.out
10,1,1787,-1.67752742620438,1516,0.207358697962973,0.374017088392822,largedata/Dm/region_CG/cg_input/10_103500001_cg.out
10,1,1219,-1.83708328139555,889,0.164606357472314,0.321705321527906,largedata/Dm/region_CG/cg_input/10_103600001_cg.out
