chr,start,end,Dm,segregation_site,theta_pi,theta_s,geneid
3,1,27,-1.30471056922996,1,0.00192317722657544,0.0110659768601108,largedata/Dm/gene_CHH/chh_input/AC147602.5_FG004_chh.out
2,1,250,-2.71331438064505,16,0.00446688743924366,0.0227679232688785,largedata/Dm/gene_CHH/chh_input/AC148152.3_FG001_chh.out
2,1,155,-2.29875114508629,8,0.00295117608697992,0.0137537119251189,largedata/Dm/gene_CHH/chh_input/AC148152.3_FG005_chh.out
2,1,11,-1.7855542765822,9,0.150485437748428,0.338818326921383,largedata/Dm/gene_CHH/chh_input/AC148152.3_FG006_chh.out
2,1,375,-2.83225451198694,23,0.0049316343258747,0.025310220838137,largedata/Dm/gene_CHH/chh_input/AC148152.3_FG008_chh.out
7,1,542,-2.75092593892217,33,0.00669178427373383,0.028200637737796,largedata/Dm/gene_CHH/chh_input/AC148167.6_FG001_chh.out
9,1,130,-2.31540576894567,10,0.00926449588036248,0.0319983290593202,largedata/Dm/gene_CHH/chh_input/AC149475.2_FG002_chh.out
9,1,517,1.35636930220341,115,0.132662679036858,0.0971962424237239,largedata/Dm/gene_CHH/chh_input/AC149475.2_FG003_chh.out
9,1,1586,-2.75559617078852,78,0.00657408921574511,0.0256484852932903,largedata/Dm/gene_CHH/chh_input/AC149475.2_FG005_chh.out
9,1,42,-2.01210269130853,4,0.00618624959466253,0.0287620563188001,largedata/Dm/gene_CHH/chh_input/AC149475.2_FG007_chh.out
9,1,70,-1.53676788535065,5,0.00847633328200419,0.0200280498489399,largedata/Dm/gene_CHH/chh_input/AC149810.2_FG008_chh.out
9,1,379,-2.48305667007921,30,0.0120026630587398,0.0386776530376954,largedata/Dm/gene_CHH/chh_input/AC149818.2_FG001_chh.out
9,1,34,-1.08999212402996,4,0.0192887660338,0.0338827333759287,largedata/Dm/gene_CHH/chh_input/AC149818.2_FG004_chh.out
9,1,343,-2.58980188159482,18,0.00511939382216652,0.0206557672507699,largedata/Dm/gene_CHH/chh_input/AC149818.2_FG006_chh.out
9,1,131,-0.270101954510749,7,0.0240293089694848,0.0262625881420212,largedata/Dm/gene_CHH/chh_input/AC149818.2_FG007_chh.out
9,1,356,-2.5259470452088,14,0.00351175152909157,0.0144129003503133,largedata/Dm/gene_CHH/chh_input/AC149818.2_FG008_chh.out
9,1,668,-2.75288590376657,76,0.0128987274219708,0.0506722931884268,largedata/Dm/gene_CHH/chh_input/AC149828.2_FG002_chh.out
9,1,16,-1.02851135833175,1,0.00656439083757895,0.0187595405895495,largedata/Dm/gene_CHH/chh_input/AC149828.2_FG005_chh.out
9,1,136,-2.18052237672955,10,0.00678466814862139,0.0225157571810595,largedata/Dm/gene_CHH/chh_input/AC149829.2_FG003_chh.out
9,1,254,-2.58139147015412,16,0.00597662452632577,0.0246723144092162,largedata/Dm/gene_CHH/chh_input/AC149829.2_FG006_chh.out
9,1,773,-2.54419807796259,65,0.0131917064137169,0.0424668669912099,largedata/Dm/gene_CHH/chh_input/AC150739.3_FG001_chh.out
10,1,149,-2.55000108949156,17,0.00923915809010177,0.0378759691277425,largedata/Dm/gene_CHH/chh_input/AC152495.1_FG002_chh.out
10,1,153,-2.68155604355705,19,0.011079913002522,0.0492365166823713,largedata/Dm/gene_CHH/chh_input/AC152495.1_FG010_chh.out
10,1,87,-2.62989335719235,15,0.0180420945057031,0.0774483647415298,largedata/Dm/gene_CHH/chh_input/AC152495.1_FG011_chh.out
10,1,137,-1.98668929456428,17,0.0268393466064249,0.0622528249106098,largedata/Dm/gene_CHH/chh_input/AC152495.1_FG012_chh.out
10,1,635,-2.0640046280764,100,0.0343419762428551,0.0772510058046637,largedata/Dm/gene_CHH/chh_input/AC152495.1_FG013_chh.out
8,1,323,-2.40824790534062,19,0.00540720828359589,0.0186221514685962,largedata/Dm/gene_CHH/chh_input/AC155376.2_FG004_chh.out
8,1,496,-2.20486217199122,92,0.0366073518011129,0.0901994664664971,largedata/Dm/gene_CHH/chh_input/AC155376.2_FG005_chh.out
3,1,2900,-2.81009036420043,146,0.00573809234632772,0.0232646533472781,largedata/Dm/gene_CHH/chh_input/AC155377.1_FG001_chh.out
3,1,1334,-2.82874147038534,72,0.0056574680873293,0.0242492966972453,largedata/Dm/gene_CHH/chh_input/AC155377.1_FG002_chh.out
1,1,419,-2.27144312659643,11,0.00285182716244167,0.00952723826885325,largedata/Dm/gene_CHH/chh_input/AC155390.2_FG002_chh.out
